wavelength_nm,flux_quiescent,flux_flare_component,flux_total_flare
0.14636665586103437,1.9711374585735683e-279,1.9711374585735684e-281,1.990848833159304e-279
0.14673637760655728,1.9464295722891496e-279,1.9464295722891496e-281,1.965893868012041e-279
0.14710703326813032,1.922031395326115e-279,1.9220313953261146e-281,1.941251709279376e-279
0.14747862520482272,1.897939045528669e-279,1.8979390455286695e-281,1.9169184359839556e-279
0.1478511557816627,1.8741486894032183e-279,1.874148689403218e-281,1.8928901762972503e-279
0.1482246273696525,1.85065654150838e-279,1.85065654150838e-281,1.869163106923464e-279
0.14859904234578358,1.82745886385266e-279,1.82745886385266e-281,1.8457334524911866e-279
0.1489744030930516,1.8045519652996787e-279,1.804551965299679e-281,1.8225974849526756e-279
0.1493507120004717,1.7819322009808506e-279,1.781932200980851e-281,1.799751522990659e-279
0.14972797146309363,1.7595959717154202e-279,1.7595959717154204e-281,1.7771919314325745e-279
0.15010618388201713,1.7375397234377732e-279,1.737539723437773e-281,1.754915120672151e-279
0.15048535166440696,1.7157599466319344e-279,1.7157599466319344e-281,1.7329175460982538e-279
0.15086547722350846,1.6942531757731343e-279,1.6942531757731343e-281,1.7111957075308656e-279
0.15124656297866285,1.6730159887763884e-279,1.6730159887763886e-281,1.6897461486641523e-279
0.15162861135532252,1.6520450064519934e-279,1.6520450064519934e-281,1.6685654565165133e-279
0.1520116247850666,1.6313368919678335e-279,1.6313368919678337e-281,1.647650260887512e-279
0.1523956057056164,1.6108883503184403e-279,1.6108883503184404e-281,1.6269972338216247e-279
0.1527805565608508,1.5906961278007033e-279,1.5906961278007032e-281,1.6066030890787103e-279
0.15316647980082196,1.5707570114961498e-279,1.5707570114961497e-281,1.5864645816111113e-279
0.153553377881771,1.551067828759707e-279,1.551067828759707e-281,1.5665785070473042e-279
0.15394125326614333,1.5316254467149012e-279,1.531625446714901e-281,1.5469417011820503e-279
0.15433010842260453,1.5124267717553485e-279,1.5124267717553487e-281,1.527551039472902e-279
0.15471994582605605,1.493468749052516e-279,1.493468749052516e-281,1.5084034365430412e-279
0.15511076795765094,1.474748362069647e-279,1.4747483620696472e-281,1.4894958456903436e-279
0.15550257730480957,1.4562626320817867e-279,1.4562626320817867e-281,1.4708252584026046e-279
0.1558953763612356,1.4380086177018041e-279,1.4380086177018042e-281,1.4523887038788222e-279
0.15628916762693176,1.4199834144123776e-279,1.4199834144123777e-281,1.4341832485565013e-279
0.15668395360821574,1.40218415410384e-279,1.4021841541038403e-281,1.4162059956448783e-279
0.1570797368177362,1.3846080046178068e-279,1.3846080046178068e-281,1.398454084663985e-279
0.15747651977448884,1.3672521692965349e-279,1.367252169296535e-281,1.3809246909895002e-279
0.15787430500383218,1.3501138865379342e-279,1.3501138865379342e-281,1.3636150254033136e-279
0.1582730950375039,1.3331904293561427e-279,1.3331904293561427e-281,1.346522333649704e-279
0.15867289241363675,1.3164791049476237e-279,1.3164791049476236e-281,1.3296438959971e-279
0.15907369967677487,1.2999772542626909e-279,1.2999772542626908e-281,1.3129770268053178e-279
0.15947551937788987,1.2836822515824137e-279,1.2836822515824139e-281,1.2965190740982378e-279
0.15987835407439716,1.2675915041008173e-279,1.2675915041008172e-281,1.2802674191418255e-279
0.16028220633017215,1.2517024515123265e-279,1.2517024515123264e-281,1.2642194760274497e-279
0.16068707871556653,1.2360125656043817e-279,1.236012565604382e-281,1.2483726912604255e-279
0.1610929738074248,1.2205193498551531e-279,1.220519349855153e-281,1.2327245433537046e-279
0.16149989418910043,1.2052203390363046e-279,1.205220339036305e-281,1.2172725424266677e-279
0.16190784245047257,1.1901130988207358e-279,1.1901130988207363e-281,1.2020142298089433e-279
0.1623168211879623,1.1751952253952368e-279,1.1751952253952367e-281,1.1869471776491892e-279
0.16272683300454932,1.1604643450780058e-279,1.1604643450780054e-281,1.1720689885287858e-279
0.1631378805097883,1.1459181139409569e-279,1.145918113940957e-281,1.1573772950803665e-279
0.16354996631982593,1.1315542174367536e-279,1.1315542174367535e-281,1.1428697596111212e-279
0.163963093057417,1.1173703700305382e-279,1.1173703700305383e-281,1.1285440737308436e-279
0.16437726335194144,1.1033643148362594e-279,1.1033643148362593e-281,1.1143979579846221e-279
0.1647924798394211,1.0895338232575594e-279,1.0895338232575595e-281,1.100429161490135e-279
0.16520874516253628,1.0758766946331783e-279,1.0758766946331785e-281,1.0866354615795102e-279
