time_btjd,flux,flux_err
1580.0355324565865,1.0074887,
1580.056366092309,1.0019735,
1580.0771997273337,1.0460194,
1580.098033361194,1.0527028,
1580.1188669941234,1.0285622,
1580.1397006261204,1.0229816,
1580.1605342571866,1.0225883,
1580.1813678870885,1.004886,
1580.2022015160596,0.9986351,
1580.223035144099,0.94457513,
1580.2438687712065,0.96526724,
1580.2647023971504,0.97953427,
1580.2855360219305,1.0084201,
1580.3063696460117,1.0316304,
1580.3272032686964,1.1603478,
1580.3480368906814,1.1898767,
1580.3688705115023,1.1676681,
1580.3897041311607,1.056607,
1580.4105377496544,1.033777,
1580.431371367216,0.9789575,
1580.4522049836137,0.9724323,
1580.4730385990806,0.9668222,
1580.4938722131496,1.0010049,
1580.5147058262874,0.9901433,
1580.5355394382605,1.005919,
1580.5563730490703,0.97384423,
1580.5772066587165,1.0088861,
1580.5980402671985,1.0656812,
1580.6188738745154,1.0738251,
1580.6397074806687,0.99844337,
1580.6605410854245,1.0123531,
1580.6813746892503,0.9853541,
1580.7022082916774,0.99302006,
1580.7230418929416,0.9808998,
1580.7438754930408,1.0002099,
1580.7647090917444,0.99552023,
1580.7855426890496,0.9502671,
1580.8063762851907,0.99732697,
1580.8272098801685,1.0174241,
1580.8480434737494,1.0725362,
1580.8688770659319,1.1686289,
1580.8897106567183,1.2366847,
1580.9105442463406,1.1492914,
1580.9313778343335,1.0386311,
1580.9522114211616,1.026172,
1580.9730450065927,0.9860361,
1580.9938785903946,0.9509531,
1581.0147121727985,0.9668104,
1581.0355457538053,1.0044689,
1581.0563793334163,0.99449486,
1581.0772129113975,0.9764494,
1581.0980464877484,0.9988786,
1581.118880062702,1.0567306,
1581.1397136362584,1.0253466,
1581.1605472079518,1.0331621,
1581.1813807782487,1.0617168,
1581.2022143466834,0.9858958,
1581.2230479137215,0.9697612,
1581.2438814788966,0.975669,
1581.2647150426747,0.97157216,
1581.2855486045905,0.98041844,
1581.3063821646424,0.94196945,
1581.3272157230654,0.9662234,
1581.3480492796257,0.9888182,
1581.368882834323,1.0358795,
1581.3897163873903,1.084231,
1581.4105499383636,1.198302,
1581.4313834877066,1.1789099,
1581.452217034953,1.1234186,
1581.473050580337,1.0160686,
1581.4938841236267,0.97875005,
1581.5147176648195,0.9473291,
1581.5355512041506,1.0221008,
1581.5563847413855,0.92977804,
1581.5772182765254,0.9773568,
1581.5980518095694,0.9671907,
1581.6188853402855,1.0114698,
1581.6397188689061,1.0167612,
1581.6605523951985,1.046433,
1581.6813859193953,1.0654199,
1581.702219441031,1.0138701,
1581.7230529605704,1.0224864,
1581.7438864775504,1.0204296,
1581.7647199924336,0.962387,
1582.7855592960286,0.9706422,
1582.8063927250473,1.0276355,
1582.827226155697,1.0040321,
1582.8480595879764,0.98762,
1582.868893021885,1.0009347,
1582.8897264578895,1.0202366,
1582.9105598957572,1.0181044,
1582.9313933357193,0.9923977,
1582.9522267775446,1.0051194,
1582.973060221698,0.95742315,
1582.9938936681806,0.9980014,
1583.0147271165247,1.1880368,
1583.0355605674295,1.0875834,
1583.056394020431,1.1003646,
1583.8897336613209,0.6078934,
1583.9105671785828,0.7941976,
1583.931400696777,0.8230414,
1583.952234215669,0.8799206,
1583.9730677350265,0.90223795,
1583.993901255316,0.91825867,
1584.0147347760703,0.94210273,
1584.0355682975237,1.0381206,
1584.2022364889385,1.0324783,
1584.223070015049,0.99225575,
1584.2439035416246,1.0398561,
1584.264737068433,1.0451671,
1584.2855705954735,1.0482947,
1584.3064041232142,1.0228152,
1584.327237650953,1.0649787,
1584.3480711791576,1.1152455,
1584.368904707829,1.0307465,
1584.3897382364999,1.0317976,
1584.4105717656366,1.0371926,
1584.4314052950053,0.95727867,
1584.452238824375,1.0007623,
1584.4730723542104,0.9392784,
1584.493905884277,0.99699426,
1584.514739414345,0.9598295,
1584.5355729446464,0.9444546,
1584.55640647518,0.9647993,
1584.577240005946,0.9835434,
1584.598073536713,1.0072501,
1584.6189070677115,1.1439662,
1584.63974059871,1.1835694,
1584.6605741299431,1.1289207,
1584.681407661175,1.0008172,
1584.702241192407,0.96896666,
1584.7230747238714,0.96039456,
1584.743908255336,0.94558936,
1584.7647417870335,0.948325,
1584.785575318498,0.97748905,
1584.806408850196,0.97867113,
1584.8272423816616,1.0093004,
1584.8480759133586,1.0133966,
1584.868909445056,0.99312955,
1584.889742976754,1.0385385,
1584.9105765084514,1.0260727,
1584.931410039916,0.9896831,
1584.9522435716135,1.0055679,
1584.973077103079,1.0316523,
1584.9939106345435,1.0206429,
1585.0147441660079,0.95665336,
1585.0355776974734,0.924983,
1585.0564112287045,0.9808327,
1585.077244759936,1.0069577,
1585.0980782911683,0.94379675,
1585.118911822168,1.0093951,
1585.1397453531674,1.0234077,
1585.1605788841657,1.1658213,
1585.1814124149323,1.1698258,
1585.2022459454656,1.1127394,
1585.2230794759985,1.0042548,
1585.243913006532,0.97354424,
1585.2647465368336,0.989143,
1585.2855800669006,0.9786686,
1585.306413596968,0.9730167,
1585.3272471268033,0.9846198,
1585.3480806564055,0.96526235,
1585.3689141860077,0.9374421,
1585.3897477153764,1.0051837,
1585.410581244514,1.0072082,
1585.4314147734171,1.0751107,
1585.45224830232,0.99738556,
1585.4730818309908,1.0170132,
1585.4939153594291,0.9868447,
1585.5147488876337,0.968401,
1585.5355824156059,0.97520125,
1585.556415943579,0.9542109,
1585.577249471085,0.9775363,
1585.598082998591,0.9617366,
1585.618916525633,0.9535924,
1585.6397500526734,0.9907539,
1585.660583579481,1.0158844,
1585.681417105824,1.0192176,
1585.7022506321664,1.1642425,
1585.723084158276,1.1728377,
1585.74391768392,1.0635318,
1585.764751209564,1.008185,
1585.7855847347419,1.0374526,
1585.8064182599205,1.0098271,
1585.8272517846326,0.95232147,
1585.848085309113,0.961635,
1585.8689188333594,1.0068004,
1585.889752357373,0.9644153,
1585.9105858811545,0.98408526,
1585.9522529275523,1.0221512,
1585.9730864504027,1.0610015,
1585.9939199730202,1.0126249,
1586.0147534954044,1.0518775,
1586.0355870173225,1.0102401,
1586.056420539009,0.9723794,
1586.0772540604614,0.9643797,
1586.0980875814485,0.9705846,
1586.1189211024357,0.9842975,
1586.139754622958,0.96806955,
1586.1605881430135,0.953504,
1586.1814216628363,1.0017551,
1586.202255182427,1.0247831,
1586.2230887017845,1.1314179,
1586.2439222206754,1.1970757,
1586.264755739102,1.176707,
1586.285589257529,1.0721107,
1586.3064227754894,0.96230227,
1586.3272562929833,1.0099607,
1586.3480898102462,0.9591474,
1586.3689233272744,0.98095447,
1586.3897568438374,1.0125673,
1586.410590360168,0.9963515,
1586.431423876034,0.94623595,
1586.452257391666,0.9864056,
1586.473090906832,1.0178444,
1586.4939244217653,1.0659118,
1586.5147579362333,0.99684197,
1586.5355914504685,1.0393411,
1586.556424964238,1.052123,
1586.577258477542,1.0265846,
1586.5980919908461,0.9877909,
1586.618925503451,0.98026747,
1586.6397590158235,0.96971273,
