time_hours,EF_NUV,n_O3_cm3,n_CH4_cm3,n_OH_cm3,vmr_O3,vmr_CH4,vmr_OH,dO3_frac,dCH4_frac,dOH_frac
-0.7643821910955477,1.0,88168261175.26144,529035521826.7112,293909.66332884127,2.9998448901349e-07,1.7999952428425602e-06,1.0000008959524305e-12,-5.1703288366595376e-05,-2.642865244297807e-06,8.959524305971088e-07
-0.751375687843922,1.0,88168213230.4628,529035507109.1106,293909.6660982905,2.999843258856736e-07,1.799995192767263e-06,1.0000009053752295e-12,-5.224704775463604e-05,-2.67068485391208e-06,9.05375229602102e-07
-0.7383691845922962,1.0,88168165286.55592,529035492391.5103,293909.66886768903,2.9998416276089136e-07,1.7999951426919667e-06,1.0000009147978561e-12,-5.27907970287957e-05,-2.698504462949502e-06,9.147978563068388e-07
-0.7253626813406704,1.0,88168117343.54077,529035477673.9103,293909.6716370369,2.9998399963914313e-07,1.7999950926166712e-06,1.0000009242203105e-12,-5.333453618959353e-05,-2.7263240715254423e-06,9.242203105132728e-07
-0.7123561780890446,1.0,88168069401.41736,529035462956.3105,293909.6744063341,2.9998383652042896e-07,1.7999950425413766e-06,1.0000009336425924e-12,-5.387826523685645e-05,-2.7541436796399014e-06,9.336425924194505e-07
-0.6993496748374188,1.0,88168021460.18565,529035448238.711,293909.67717558064,2.999836734047487e-07,1.799994992466083e-06,1.0000009430647018e-12,-5.44219841709306e-05,-2.781963287177509e-06,9.430647018273253e-07
-0.6863431715857928,1.0,88167973519.84564,529035433521.1118,293909.67994477646,2.999835102921024e-07,1.7999949423907905e-06,1.0000009524866385e-12,-5.496569299198903e-05,-2.8097828941382648e-06,9.524866387368975e-07
-0.673336668334167,1.0,88167925580.39731,529035418803.5129,293909.6827139217,2.9998334718248995e-07,1.7999948923154988e-06,1.0000009619084034e-12,-5.550939170020478e-05,-2.8376025006375396e-06,9.619084035442595e-07
-0.6603301650825413,1.0,88167877641.84064,529035404085.9142,293909.68548301625,2.999831840759113e-07,1.799994842240208e-06,1.0000009713299957e-12,-5.6053080295750924e-05,-2.865422106675333e-06,9.713299958533188e-07
-0.6473236618309155,1.0,88167829704.1756,529035389368.31573,293909.68825206015,2.999830209723663e-07,1.799994792164918e-06,1.0000009807514158e-12,-5.659675877897356e-05,-2.8932417122516452e-06,9.807514158621214e-07
-0.6343171585792897,1.0,88167781767.40219,529035374650.7176,293909.6910210534,2.9998285787185504e-07,1.799994742089629e-06,1.0000009901726635e-12,-5.7140427149872695e-05,-2.921061317251106e-06,9.901726635706678e-07
